value, createdAt
51.22,2019-09-11T10:49:57.000Z
44.15,2019-09-11T10:50:57.000Z
36.47,2019-09-11T10:51:57.000Z
32.39,2019-09-11T10:52:57.000Z
28.44,2019-09-11T10:53:57.000Z
26.53,2019-09-11T10:54:57.000Z
25.51,2019-09-11T10:55:57.000Z
25.01,2019-09-11T10:56:57.000Z
25.85,2019-09-11T10:57:57.000Z
24.56,2019-09-11T10:58:58.000Z
23.66,2019-09-11T10:59:58.000Z
22.67,2019-09-11T11:00:58.000Z
22.45,2019-09-11T11:01:58.000Z
21.84,2019-09-11T11:02:58.000Z
20.67,2019-09-11T11:03:58.000Z
19.60,2019-09-11T11:04:58.000Z
20.08,2019-09-11T11:05:58.000Z
20.00,2019-09-11T11:06:58.000Z
19.33,2019-09-11T11:07:58.000Z
20.17,2019-09-11T11:08:59.000Z
19.48,2019-09-11T11:09:59.000Z
19.18,2019-09-11T11:10:59.000Z
18.80,2019-09-11T11:11:59.000Z
19.45,2019-09-11T11:12:59.000Z
20.20,2019-09-11T11:13:59.000Z
17.99,2019-09-11T11:14:59.000Z
18.29,2019-09-11T11:15:59.000Z
18.20,2019-09-11T11:16:59.000Z
19.65,2019-09-11T11:17:59.000Z
19.27,2019-09-11T11:19:00.000Z
17.94,2019-09-11T11:20:00.000Z
19.42,2019-09-11T11:21:00.000Z
19.93,2019-09-11T11:22:00.000Z
20.75,2019-09-11T11:23:00.000Z
20.69,2019-09-11T11:24:00.000Z
23.85,2019-09-11T11:25:00.000Z
24.06,2019-09-11T11:26:00.000Z
25.14,2019-09-11T11:27:00.000Z
23.95,2019-09-11T11:28:00.000Z
23.81,2019-09-11T11:29:00.000Z
23.58,2019-09-11T11:30:01.000Z
21.42,2019-09-11T11:31:01.000Z
21.21,2019-09-11T11:32:01.000Z
22.92,2019-09-11T11:33:01.000Z
21.24,2019-09-11T11:34:01.000Z
18.44,2019-09-11T11:35:01.000Z
19.01,2019-09-11T11:36:01.000Z
18.62,2019-09-11T11:37:01.000Z
17.74,2019-09-11T11:38:01.000Z
17.35,2019-09-11T11:39:01.000Z
17.94,2019-09-11T11:40:02.000Z
18.89,2019-09-11T11:41:02.000Z
16.77,2019-09-11T11:42:02.000Z
17.35,2019-09-11T11:43:02.000Z
18.76,2019-09-11T11:44:02.000Z
18.47,2019-09-11T11:45:02.000Z
17.49,2019-09-11T11:46:02.000Z
17.41,2019-09-11T11:47:02.000Z
16.94,2019-09-11T11:48:02.000Z
17.43,2019-09-11T11:49:02.000Z
16.60,2019-09-11T11:50:03.000Z
16.88,2019-09-11T11:51:03.000Z
17.27,2019-09-11T11:52:03.000Z
