value, createdAt
10.70,2019-09-11T10:36:05.000Z
16.40,2019-09-11T10:37:05.000Z
15.70,2019-09-11T10:38:05.000Z
15.70,2019-09-11T10:39:05.000Z
16.00,2019-09-11T10:40:05.000Z
16.20,2019-09-11T10:41:05.000Z
16.60,2019-09-11T10:42:05.000Z
17.20,2019-09-11T10:43:05.000Z
18.30,2019-09-11T10:44:06.000Z
18.60,2019-09-11T10:45:06.000Z
18.50,2019-09-11T10:46:06.000Z
16.90,2019-09-11T10:47:06.000Z
18.00,2019-09-11T10:48:06.000Z
17.10,2019-09-11T10:49:06.000Z
16.10,2019-09-11T10:50:06.000Z
15.70,2019-09-11T10:51:06.000Z
16.50,2019-09-11T10:52:06.000Z
16.10,2019-09-11T10:53:06.000Z
14.60,2019-09-11T10:54:06.000Z
14.60,2019-09-11T10:55:06.000Z
14.30,2019-09-11T10:56:07.000Z
13.40,2019-09-11T10:57:07.000Z
14.50,2019-09-11T10:58:07.000Z
14.60,2019-09-11T10:59:07.000Z
13.60,2019-09-11T11:00:07.000Z
13.00,2019-09-11T11:01:07.000Z
13.40,2019-09-11T11:02:07.000Z
14.90,2019-09-11T11:03:07.000Z
14.70,2019-09-11T11:04:07.000Z
13.30,2019-09-11T11:05:07.000Z
13.30,2019-09-11T11:06:07.000Z
12.00,2019-09-11T11:07:08.000Z
11.90,2019-09-11T11:08:08.000Z
11.30,2019-09-11T11:09:08.000Z
10.20,2019-09-11T11:10:08.000Z
10.40,2019-09-11T11:11:08.000Z
10.20,2019-09-11T11:12:08.000Z
11.30,2019-09-11T11:13:08.000Z
10.70,2019-09-11T11:14:08.000Z
11.20,2019-09-11T11:15:08.000Z
11.30,2019-09-11T11:16:08.000Z
10.90,2019-09-11T11:17:08.000Z
10.50,2019-09-11T11:18:08.000Z
9.90,2019-09-11T11:19:09.000Z
10.10,2019-09-11T11:20:09.000Z
9.00,2019-09-11T11:21:09.000Z
9.40,2019-09-11T11:22:09.000Z
8.70,2019-09-11T11:23:09.000Z
9.30,2019-09-11T11:24:09.000Z
8.30,2019-09-11T11:25:09.000Z
9.20,2019-09-11T11:26:09.000Z
9.00,2019-09-11T11:27:09.000Z
8.00,2019-09-11T11:28:09.000Z
7.50,2019-09-11T11:29:09.000Z
7.80,2019-09-11T11:30:10.000Z
9.50,2019-09-11T11:31:10.000Z
8.00,2019-09-11T11:32:10.000Z
7.80,2019-09-11T11:33:10.000Z
7.80,2019-09-11T11:34:10.000Z
6.00,2019-09-11T11:35:10.000Z
5.60,2019-09-11T11:36:10.000Z
6.20,2019-09-11T11:37:10.000Z
