value, createdAt
23.02,2019-09-11T10:36:05.000Z
22.82,2019-09-11T10:37:05.000Z
22.51,2019-09-11T10:38:05.000Z
22.40,2019-09-11T10:39:05.000Z
22.35,2019-09-11T10:40:05.000Z
21.69,2019-09-11T10:41:05.000Z
21.35,2019-09-11T10:42:05.000Z
21.22,2019-09-11T10:43:05.000Z
21.37,2019-09-11T10:44:06.000Z
21.92,2019-09-11T10:45:06.000Z
22.70,2019-09-11T10:46:06.000Z
23.39,2019-09-11T10:47:06.000Z
23.69,2019-09-11T10:48:06.000Z
24.32,2019-09-11T10:49:06.000Z
24.67,2019-09-11T10:50:06.000Z
25.25,2019-09-11T10:51:06.000Z
25.79,2019-09-11T10:52:06.000Z
26.20,2019-09-11T10:53:06.000Z
26.63,2019-09-11T10:54:06.000Z
27.03,2019-09-11T10:55:06.000Z
27.32,2019-09-11T10:56:07.000Z
27.22,2019-09-11T10:57:07.000Z
27.39,2019-09-11T10:58:07.000Z
27.75,2019-09-11T10:59:07.000Z
27.55,2019-09-11T11:00:07.000Z
27.47,2019-09-11T11:01:07.000Z
27.63,2019-09-11T11:02:07.000Z
27.60,2019-09-11T11:03:07.000Z
27.74,2019-09-11T11:04:07.000Z
27.88,2019-09-11T11:05:07.000Z
27.65,2019-09-11T11:06:07.000Z
27.82,2019-09-11T11:07:08.000Z
28.14,2019-09-11T11:08:08.000Z
27.94,2019-09-11T11:09:08.000Z
27.82,2019-09-11T11:10:08.000Z
27.93,2019-09-11T11:11:08.000Z
28.11,2019-09-11T11:12:08.000Z
28.52,2019-09-11T11:13:08.000Z
28.51,2019-09-11T11:14:08.000Z
28.81,2019-09-11T11:15:08.000Z
29.06,2019-09-11T11:16:08.000Z
29.12,2019-09-11T11:17:08.000Z
29.11,2019-09-11T11:18:08.000Z
28.80,2019-09-11T11:19:09.000Z
28.36,2019-09-11T11:20:09.000Z
27.99,2019-09-11T11:21:09.000Z
27.43,2019-09-11T11:22:09.000Z
27.55,2019-09-11T11:23:09.000Z
27.14,2019-09-11T11:24:09.000Z
26.54,2019-09-11T11:25:09.000Z
25.91,2019-09-11T11:26:09.000Z
25.43,2019-09-11T11:27:09.000Z
25.36,2019-09-11T11:28:09.000Z
25.42,2019-09-11T11:29:09.000Z
25.73,2019-09-11T11:30:10.000Z
26.18,2019-09-11T11:31:10.000Z
26.55,2019-09-11T11:32:10.000Z
27.12,2019-09-11T11:33:10.000Z
27.44,2019-09-11T11:34:10.000Z
27.90,2019-09-11T11:35:10.000Z
28.11,2019-09-11T11:36:10.000Z
28.30,2019-09-11T11:37:10.000Z
