value,createdAt
18.47,2019-09-05T17:29:40.000Z
18.47,2019-09-05T17:29:10.000Z
18.47,2019-09-05T17:28:40.000Z
18.47,2019-09-05T17:28:10.000Z
18.47,2019-09-05T17:27:40.000Z
18.47,2019-09-05T17:27:10.000Z
18.47,2019-09-05T17:26:39.000Z
18.49,2019-09-05T17:26:09.000Z
18.47,2019-09-05T17:25:39.000Z
18.47,2019-09-05T17:25:09.000Z
18.49,2019-09-05T17:24:39.000Z
18.47,2019-09-05T17:24:09.000Z
18.49,2019-09-05T17:23:38.000Z
18.49,2019-09-05T17:23:08.000Z
18.49,2019-09-05T17:22:38.000Z
18.49,2019-09-05T17:22:08.000Z
18.50,2019-09-05T17:21:38.000Z
18.49,2019-09-05T17:21:08.000Z
18.50,2019-09-05T17:20:38.000Z
18.50,2019-09-05T17:20:08.000Z
18.50,2019-09-05T17:19:38.000Z
18.50,2019-09-05T17:19:08.000Z
18.52,2019-09-05T17:18:38.000Z
18.52,2019-09-05T17:18:07.000Z
18.52,2019-09-05T17:17:37.000Z
18.52,2019-09-05T17:17:07.000Z
18.52,2019-09-05T17:16:37.000Z
18.52,2019-09-05T17:16:07.000Z
18.52,2019-09-05T17:15:37.000Z
18.52,2019-09-05T17:15:07.000Z
18.53,2019-09-05T17:14:37.000Z
18.52,2019-09-05T17:14:07.000Z
18.53,2019-09-05T17:13:36.000Z
18.53,2019-09-05T17:13:06.000Z
18.53,2019-09-05T17:12:36.000Z
18.53,2019-09-05T17:12:06.000Z
18.55,2019-09-05T17:11:36.000Z
18.56,2019-09-05T17:11:06.000Z
18.56,2019-09-05T17:10:36.000Z
18.55,2019-09-05T17:10:06.000Z
18.56,2019-09-05T17:09:36.000Z
18.59,2019-09-05T17:09:05.000Z
18.59,2019-09-05T17:08:35.000Z
18.60,2019-09-05T17:08:05.000Z
18.60,2019-09-05T17:07:35.000Z
18.60,2019-09-05T17:07:05.000Z
18.62,2019-09-05T17:06:35.000Z
18.63,2019-09-05T17:06:05.000Z
18.65,2019-09-05T17:05:35.000Z
18.65,2019-09-05T17:05:05.000Z
18.65,2019-09-05T17:04:35.000Z
18.63,2019-09-05T17:04:04.000Z
18.62,2019-09-05T17:03:34.000Z
18.65,2019-09-05T17:03:04.000Z
18.65,2019-09-05T17:02:34.000Z
18.65,2019-09-05T17:02:04.000Z
18.65,2019-09-05T17:01:34.000Z
18.65,2019-09-05T17:01:04.000Z
18.63,2019-09-05T17:00:34.000Z
18.63,2019-09-05T17:00:04.000Z
18.66,2019-09-05T16:59:33.000Z
18.65,2019-09-05T16:59:03.000Z
18.63,2019-09-05T16:58:33.000Z
18.65,2019-09-05T16:58:03.000Z
18.63,2019-09-05T16:57:33.000Z
18.63,2019-09-05T16:57:03.000Z
18.65,2019-09-05T16:56:33.000Z
18.65,2019-09-05T16:56:03.000Z
18.65,2019-09-05T16:55:33.000Z
18.65,2019-09-05T16:55:02.000Z
18.65,2019-09-05T16:54:32.000Z
18.65,2019-09-05T16:54:02.000Z
18.65,2019-09-05T16:53:32.000Z
18.65,2019-09-05T16:53:02.000Z
18.65,2019-09-05T16:52:32.000Z
18.66,2019-09-05T16:52:02.000Z
18.65,2019-09-05T16:51:32.000Z
18.65,2019-09-05T16:51:02.000Z
18.65,2019-09-05T16:50:31.000Z
18.65,2019-09-05T16:50:01.000Z
18.65,2019-09-05T16:49:31.000Z
18.66,2019-09-05T16:49:01.000Z
18.65,2019-09-05T16:48:31.000Z
18.65,2019-09-05T16:48:01.000Z
18.65,2019-09-05T16:47:31.000Z
18.65,2019-09-05T16:47:01.000Z
18.65,2019-09-05T16:46:31.000Z
18.65,2019-09-05T16:46:01.000Z
18.65,2019-09-05T16:45:30.000Z
18.65,2019-09-05T16:45:00.000Z
18.65,2019-09-05T16:44:30.000Z
18.65,2019-09-05T16:44:00.000Z
18.65,2019-09-05T16:43:30.000Z
18.65,2019-09-05T16:42:59.000Z
18.65,2019-09-05T16:42:29.000Z
18.63,2019-09-05T16:41:59.000Z
18.65,2019-09-05T16:41:29.000Z
18.65,2019-09-05T16:40:59.000Z
18.65,2019-09-05T16:40:29.000Z
18.65,2019-09-05T16:39:59.000Z
18.65,2019-09-05T16:39:29.000Z
18.65,2019-09-05T16:38:59.000Z
18.65,2019-09-05T16:38:28.000Z
18.66,2019-09-05T16:37:58.000Z
18.66,2019-09-05T16:37:28.000Z
18.65,2019-09-05T16:36:58.000Z
18.65,2019-09-05T16:36:28.000Z
18.65,2019-09-05T16:35:58.000Z
18.65,2019-09-05T16:35:28.000Z
18.65,2019-09-05T16:34:58.000Z
18.65,2019-09-05T16:34:28.000Z
18.65,2019-09-05T16:33:57.000Z
18.65,2019-09-05T16:33:27.000Z
18.65,2019-09-05T16:32:57.000Z
18.66,2019-09-05T16:32:27.000Z
18.66,2019-09-05T16:31:57.000Z
18.65,2019-09-05T16:31:27.000Z
18.66,2019-09-05T16:30:57.000Z
18.66,2019-09-05T16:30:27.000Z
18.66,2019-09-05T16:29:57.000Z
18.65,2019-09-05T16:29:27.000Z
18.65,2019-09-05T16:28:56.000Z
18.66,2019-09-05T16:28:26.000Z
18.65,2019-09-05T16:27:56.000Z
18.65,2019-09-05T16:27:26.000Z
18.65,2019-09-05T16:26:56.000Z
18.65,2019-09-05T16:26:26.000Z
18.65,2019-09-05T16:25:56.000Z
18.66,2019-09-05T16:25:26.000Z
18.65,2019-09-05T16:24:56.000Z
18.66,2019-09-05T16:24:25.000Z
18.65,2019-09-05T16:23:55.000Z
18.66,2019-09-05T16:23:25.000Z
18.65,2019-09-05T16:22:55.000Z
18.65,2019-09-05T16:22:25.000Z
18.65,2019-09-05T16:21:55.000Z
18.65,2019-09-05T16:21:25.000Z
18.66,2019-09-05T16:20:55.000Z
18.65,2019-09-05T16:20:25.000Z
18.66,2019-09-05T16:19:54.000Z
18.66,2019-09-05T16:19:24.000Z
18.65,2019-09-05T16:18:54.000Z
18.65,2019-09-05T16:18:24.000Z
18.65,2019-09-05T16:17:54.000Z
