value, createdAt
6.30,2019-09-11T10:49:57.000Z
13.10,2019-09-11T10:50:57.000Z
12.00,2019-09-11T10:51:57.000Z
8.80,2019-09-11T10:52:57.000Z
8.70,2019-09-11T10:53:57.000Z
9.00,2019-09-11T10:54:57.000Z
9.10,2019-09-11T10:55:57.000Z
7.40,2019-09-11T10:56:57.000Z
7.20,2019-09-11T10:57:57.000Z
8.70,2019-09-11T10:58:58.000Z
8.40,2019-09-11T10:59:58.000Z
8.30,2019-09-11T11:00:58.000Z
7.50,2019-09-11T11:01:58.000Z
6.00,2019-09-11T11:02:58.000Z
6.30,2019-09-11T11:03:58.000Z
7.30,2019-09-11T11:04:58.000Z
6.90,2019-09-11T11:05:58.000Z
7.20,2019-09-11T11:06:58.000Z
7.10,2019-09-11T11:07:58.000Z
6.80,2019-09-11T11:08:59.000Z
6.60,2019-09-11T11:09:59.000Z
6.80,2019-09-11T11:10:59.000Z
6.20,2019-09-11T11:11:59.000Z
5.90,2019-09-11T11:12:59.000Z
5.80,2019-09-11T11:13:59.000Z
5.60,2019-09-11T11:14:59.000Z
6.20,2019-09-11T11:15:59.000Z
5.20,2019-09-11T11:16:59.000Z
4.70,2019-09-11T11:17:59.000Z
5.30,2019-09-11T11:19:00.000Z
4.80,2019-09-11T11:20:00.000Z
5.60,2019-09-11T11:21:00.000Z
5.00,2019-09-11T11:22:00.000Z
4.80,2019-09-11T11:23:00.000Z
5.20,2019-09-11T11:24:00.000Z
5.10,2019-09-11T11:25:00.000Z
4.40,2019-09-11T11:26:00.000Z
4.80,2019-09-11T11:27:00.000Z
3.90,2019-09-11T11:28:00.000Z
4.80,2019-09-11T11:29:00.000Z
3.50,2019-09-11T11:30:01.000Z
3.30,2019-09-11T11:31:01.000Z
3.30,2019-09-11T11:32:01.000Z
3.50,2019-09-11T11:33:01.000Z
2.60,2019-09-11T11:34:01.000Z
2.40,2019-09-11T11:35:01.000Z
2.80,2019-09-11T11:36:01.000Z
2.50,2019-09-11T11:37:01.000Z
2.90,2019-09-11T11:38:01.000Z
2.70,2019-09-11T11:39:01.000Z
2.60,2019-09-11T11:40:02.000Z
2.40,2019-09-11T11:41:02.000Z
2.80,2019-09-11T11:42:02.000Z
2.90,2019-09-11T11:43:02.000Z
2.90,2019-09-11T11:44:02.000Z
2.70,2019-09-11T11:45:02.000Z
2.90,2019-09-11T11:46:02.000Z
3.40,2019-09-11T11:47:02.000Z
2.60,2019-09-11T11:48:02.000Z
3.20,2019-09-11T11:49:02.000Z
3.50,2019-09-11T11:50:03.000Z
3.00,2019-09-11T11:51:03.000Z
3.00,2019-09-11T11:52:03.000Z
