value, createdAt
22.61,2019-09-11T10:49:57.000Z
26.83,2019-09-11T10:50:57.000Z
30.23,2019-09-11T10:51:57.000Z
32.77,2019-09-11T10:52:57.000Z
34.84,2019-09-11T10:53:57.000Z
36.15,2019-09-11T10:54:57.000Z
37.20,2019-09-11T10:55:57.000Z
37.54,2019-09-11T10:56:57.000Z
38.10,2019-09-11T10:57:57.000Z
38.86,2019-09-11T10:58:58.000Z
39.38,2019-09-11T10:59:58.000Z
39.80,2019-09-11T11:00:58.000Z
40.54,2019-09-11T11:01:58.000Z
41.25,2019-09-11T11:02:58.000Z
41.72,2019-09-11T11:03:58.000Z
42.04,2019-09-11T11:04:58.000Z
42.01,2019-09-11T11:05:58.000Z
41.73,2019-09-11T11:06:58.000Z
41.69,2019-09-11T11:07:58.000Z
42.15,2019-09-11T11:08:59.000Z
42.71,2019-09-11T11:09:59.000Z
42.80,2019-09-11T11:10:59.000Z
42.96,2019-09-11T11:11:59.000Z
43.45,2019-09-11T11:12:59.000Z
43.90,2019-09-11T11:13:59.000Z
44.15,2019-09-11T11:14:59.000Z
43.89,2019-09-11T11:15:59.000Z
43.62,2019-09-11T11:16:59.000Z
43.55,2019-09-11T11:17:59.000Z
43.17,2019-09-11T11:19:00.000Z
42.89,2019-09-11T11:20:00.000Z
42.02,2019-09-11T11:21:00.000Z
40.94,2019-09-11T11:22:00.000Z
39.78,2019-09-11T11:23:00.000Z
38.70,2019-09-11T11:24:00.000Z
37.56,2019-09-11T11:25:00.000Z
36.94,2019-09-11T11:26:00.000Z
36.79,2019-09-11T11:27:00.000Z
37.28,2019-09-11T11:28:00.000Z
38.24,2019-09-11T11:29:00.000Z
39.12,2019-09-11T11:30:01.000Z
39.73,2019-09-11T11:31:01.000Z
40.25,2019-09-11T11:32:01.000Z
40.95,2019-09-11T11:33:01.000Z
41.86,2019-09-11T11:34:01.000Z
42.30,2019-09-11T11:35:01.000Z
42.33,2019-09-11T11:36:01.000Z
42.70,2019-09-11T11:37:01.000Z
42.98,2019-09-11T11:38:01.000Z
43.20,2019-09-11T11:39:01.000Z
43.02,2019-09-11T11:40:02.000Z
43.26,2019-09-11T11:41:02.000Z
43.36,2019-09-11T11:42:02.000Z
43.56,2019-09-11T11:43:02.000Z
43.90,2019-09-11T11:44:02.000Z
44.23,2019-09-11T11:45:02.000Z
44.62,2019-09-11T11:46:02.000Z
44.16,2019-09-11T11:47:02.000Z
44.10,2019-09-11T11:48:02.000Z
43.59,2019-09-11T11:49:02.000Z
43.01,2019-09-11T11:50:03.000Z
42.92,2019-09-11T11:51:03.000Z
42.77,2019-09-11T11:52:03.000Z
