value,timestamp
41.82,2020-03-27T11:44:34.000Z
47.16,2020-03-27T11:49:34.000Z
44.71,2020-03-27T11:54:34.000Z
41.65,2020-03-27T11:59:34.000Z
45.00,2020-03-27T12:04:34.000Z
46.00,2020-03-27T12:09:34.000Z
46.20,2020-03-27T12:14:34.000Z
45.28,2020-03-27T12:19:34.000Z
46.30,2020-03-27T12:24:34.000Z
43.35,2020-03-27T12:29:34.000Z
45.06,2020-03-27T12:34:34.000Z
43.91,2020-03-27T12:39:35.000Z
45.24,2020-03-27T12:44:35.000Z
44.22,2020-03-27T12:49:35.000Z
44.53,2020-03-27T12:54:35.000Z
45.12,2020-03-27T12:59:35.000Z
43.69,2020-03-27T13:04:35.000Z
43.87,2020-03-27T13:09:35.000Z
51.01,2020-03-27T13:14:35.000Z
45.43,2020-03-27T13:19:35.000Z
44.38,2020-03-27T13:24:35.000Z
40.71,2020-03-27T13:29:35.000Z
44.95,2020-03-27T13:34:35.000Z
46.34,2020-03-27T13:39:35.000Z
43.00,2020-03-27T13:44:35.000Z
43.51,2020-03-27T13:49:35.000Z
41.28,2020-03-27T13:54:35.000Z
40.67,2020-03-27T13:59:35.000Z
40.67,2020-03-27T14:04:36.000Z
43.00,2020-03-27T14:09:36.000Z
43.10,2020-03-27T14:14:36.000Z
42.29,2020-03-27T14:19:36.000Z
45.43,2020-03-27T14:24:36.000Z
42.40,2020-03-27T14:29:36.000Z
42.60,2020-03-27T14:34:36.000Z
41.91,2020-03-27T14:39:36.000Z
43.73,2020-03-27T14:44:36.000Z
43.65,2020-03-27T14:49:36.000Z
45.57,2020-03-27T14:54:36.000Z
42.74,2020-03-27T14:59:36.000Z
42.33,2020-03-27T15:04:36.000Z
42.63,2020-03-27T15:09:36.000Z
42.33,2020-03-27T15:14:36.000Z
42.35,2020-03-27T15:19:36.000Z
44.68,2020-03-27T15:24:36.000Z
41.34,2020-03-27T15:29:37.000Z
43.77,2020-03-27T15:34:37.000Z
45.70,2020-03-27T15:39:37.000Z
43.69,2020-03-27T15:44:37.000Z
44.50,2020-03-27T15:49:37.000Z
43.29,2020-03-27T15:54:37.000Z
42.37,2020-03-27T15:59:37.000Z
46.63,2020-03-27T16:04:37.000Z
43.69,2020-03-27T16:09:37.000Z
43.51,2020-03-27T16:14:37.000Z
43.61,2020-03-27T16:19:37.000Z
44.12,2020-03-27T16:24:37.000Z
45.76,2020-03-27T16:29:37.000Z
41.60,2020-03-27T16:34:37.000Z
43.93,2020-03-27T16:39:37.000Z
46.27,2020-03-27T16:44:37.000Z
45.89,2020-03-27T16:49:37.000Z
44.16,2020-03-27T16:54:38.000Z
46.21,2020-03-27T16:59:38.000Z
45.80,2020-03-27T17:04:38.000Z
44.89,2020-03-27T17:09:38.000Z
44.91,2020-03-27T17:14:38.000Z
47.05,2020-03-27T17:19:38.000Z
47.98,2020-03-27T17:24:38.000Z
48.19,2020-03-27T17:29:38.000Z
47.19,2020-03-27T17:34:38.000Z
47.60,2020-03-27T17:39:38.000Z
46.20,2020-03-27T17:44:38.000Z
48.03,2020-03-27T17:49:38.000Z
46.62,2020-03-27T17:54:38.000Z
49.48,2020-03-27T17:59:38.000Z
50.82,2020-03-27T18:04:38.000Z
50.03,2020-03-27T18:09:38.000Z
51.66,2020-03-27T18:14:38.000Z
49.85,2020-03-27T18:19:38.000Z
47.91,2020-03-27T18:24:38.000Z
49.77,2020-03-27T18:29:38.000Z
51.30,2020-03-27T18:34:38.000Z
51.93,2020-03-27T18:39:38.000Z
51.93,2020-03-27T18:44:38.000Z
47.88,2020-03-27T18:49:39.000Z
51.04,2020-03-27T18:54:39.000Z
52.80,2020-03-27T18:59:39.000Z
53.31,2020-03-27T19:04:39.000Z
53.31,2020-03-27T19:09:39.000Z
52.32,2020-03-27T19:14:39.000Z
50.48,2020-03-27T19:19:39.000Z
53.44,2020-03-27T19:24:39.000Z
54.08,2020-03-27T19:29:39.000Z
54.28,2020-03-27T19:34:39.000Z
53.26,2020-03-27T19:39:39.000Z
52.57,2020-03-27T19:44:39.000Z
54.31,2020-03-27T19:49:39.000Z
54.72,2020-03-27T19:54:39.000Z
53.82,2020-03-27T19:59:39.000Z
55.36,2020-03-27T20:04:39.000Z
54.97,2020-03-27T20:09:39.000Z
55.79,2020-03-27T20:14:39.000Z
54.16,2020-03-27T20:19:39.000Z
51.90,2020-03-27T20:24:39.000Z
56.74,2020-03-27T20:29:39.000Z
55.51,2020-03-27T20:34:39.000Z
56.35,2020-03-27T20:39:39.000Z
59.64,2020-03-27T20:44:40.000Z
